number,status,heuristic_score,comments,activity_state,formalized,prize,tags,url,statement
24,proved (Lean),18,1,,no,no,['graph theory'],https://www.erdosproblems.com/24,Does every triangle-free graph on $5n$ vertices contain at most $n^5$ copies of $C_5$?
25,open,51,7,open,yes,no,['number theory'],https://www.erdosproblems.com/25,"Let $1\leq n_1<n_2<\cdots$ be an arbitrary sequence of integers, each with an associated residue class $a_i\pmod{n_i}$. Let $A$ be the set of integers $n$ such that for every $i$ either $n<n_i$ or $n\not\equiv a_i\pmod{n_i}$. Must the logarithmic density of $A$ exist?"
26,disproved (Lean),16,11,,yes,no,"['number theory', 'divisors']",https://www.erdosproblems.com/26,Let $A\subset\mathbb{N}$ be infinite. Must there exist some $k\geq 1$ such that almost all integers have a divisor of the form $a+k$ for some $a\in A$?
27,disproved,18,0,,no,$100,"['number theory', 'covering systems']",https://www.erdosproblems.com/27,An $\epsilon$-almost covering system is a set of congruences $a_i\pmod{n_i}$ for distinct moduli $n_11$ such that for every $\epsilon>0$ and $N\geq 1$ there is an $\epsilon$-almost covering system with $N\leq n_1<\cdots <n_k\leq CN$?
28,open,53,5,open,yes,$500,"['number theory', 'additive basis']",https://www.erdosproblems.com/28,If $A\subseteq \mathbb{N}$ is such that $A+A$ contains all but finitely many integers then $\limsup 1_A\ast 1_A(n)=\infty$.
29,proved,14,0,,no,$100,"['number theory', 'additive basis']",https://www.erdosproblems.com/29,Is there an explicit construction of a set $A\subseteq \mathbb{N}$ such that $A+A=\mathbb{N}$ but $1_A\ast 1_A(n)=o(n^\epsilon)$ for every $\epsilon>0$?
30,open,45,5,open,yes,$1000,"['number theory', 'sidon sets', 'additive combinatorics']",https://www.erdosproblems.com/30,"Let $h(N)$ be the maximum size of a Sidon set in $\{1,\ldots,N\}$. Is it true that, for every $\epsilon>0$,\[h(N) = N^{1/2}+O_\epsilon(N^\epsilon)?\]"
31,proved (Lean),14,2,,no,no,"['number theory', 'additive basis']",https://www.erdosproblems.com/31,Given any infinite set $A\subset \mathbb{N}$ there is a set $B$ of density $0$ such that $A+B$ contains all except finitely many integers.
32,open,55,1,open,yes,no,"['number theory', 'additive basis']",https://www.erdosproblems.com/32,"Is there a set $A\subset\mathbb{N}$ such that\[\lvert A\cap\{1,\ldots,N\}\rvert = o((\log N)^2)\]and such that every large integer can be written as $p+a$ for some prime $p$ and $a\in A$? 
Can the bound $O(\log N)$ be achieved? Must such an $A$ satisfy\[\liminf \frac{\lvert A\cap\{1,\ldots,N\}\rvert}{\log N}> 1?\]"
33,open,51,5,open,yes,no,"['number theory', 'additive basis']",https://www.erdosproblems.com/33,"Let $A\subset\mathbb{N}$ be such that every large integer can be written as $n^2+a$ for some $a\in A$ and $n\geq 0$. What is the smallest possible value of\[\limsup \frac{\lvert A\cap\{1,\ldots,N\}\rvert}{N^{1/2}}?\]Is\[\liminf \frac{\lvert A\cap\{1,\ldots,N\}\rvert}{N^{1/2}}>1?\]"
34,disproved (Lean),10,5,,no,no,['number theory'],https://www.erdosproblems.com/34,"For any permutation $\pi\in S_n$ of $\{1,\ldots,n\}$ let $S(\pi)$ count the number of distinct consecutive sums, that is, sums of the shape $\sum_{u\leq i\leq v}\pi(i)$. Is it true that\[S(\pi) = o(n^2)\]for all $\pi\in S_n$?"
35,proved,12,0,,no,no,"['number theory', 'additive basis']",https://www.erdosproblems.com/35,"Let $B\subseteq\mathbb{N}$ be an additive basis of order $k$ with $0\in B$. Is it true that for every $A\subseteq\mathbb{N}$ we have\[d_s(A+B)\geq \alpha+\frac{\alpha(1-\alpha)}{k},\]where $\alpha=d_s(A)$ and\[d_s(A) = \inf \frac{\lvert A\cap\{1,\ldots,N\}\rvert}{N}\]is the Schnirelmann density?"
36,open,47,4,open,yes,no,"['number theory', 'additive combinatorics']",https://www.erdosproblems.com/36,"Find the optimal constant $c>0$ such that the following holds. 
For all sufficiently large $N$, if $A\sqcup B=\{1,\ldots,2N\}$ is a partition into two equal parts, so that $\lvert A\rvert=\lvert B\rvert=N$, then there is some $x$ such that the number of solutions to $a-b=x$ with $a\in A$ and $b\in B$ is at least $cN$."
37,disproved,10,2,,no,no,"['number theory', 'additive combinatorics']",https://www.erdosproblems.com/37,"We say that $A\subset \mathbb{N}$ is an essential component if $d_s(A+B)>d_s(B)$ for every $B\subset \mathbb{N}$ with $0Schnirelmann density.
Can a lacunary set $A\subset\mathbb{N}$ be an essential component?"
38,open,51,3,claimed,yes,no,['number theory'],https://www.erdosproblems.com/38,"Does there exist $B\subset\mathbb{N}$ which is not an additive basis, but is such that for every set $A\subseteq\mathbb{N}$ of Schnirelmann density $\alpha$ and every $N$ there exists $b\in B$ such that\[\lvert (A\cup (A+b))\cap \{1,\ldots,N\}\rvert\geq (\alpha+f(\alpha))N\]where $f(\alpha)>0$ for $0<\alpha <1 $?
The Schnirelmann density is defined by\[d_s(A) = \inf_{N\geq 1}\frac{\lvert A\cap\{1,\ldots,N\}\rvert}{N}.\]"
39,open,56,0,open,yes,$500,"['number theory', 'sidon sets', 'additive combinatorics']",https://www.erdosproblems.com/39,"Is there an infinite Sidon set $A\subset \mathbb{N}$ such that\[\lvert A\cap \{1\ldots,N\}\rvert \gg_\epsilon N^{1/2-\epsilon}\]for all $\epsilon>0$?"
40,open,60,0,open,yes,$500,"['number theory', 'additive basis']",https://www.erdosproblems.com/40,"For what functions $g(N)\to \infty$ is it true that\[\lvert A\cap \{1,\ldots,N\}\rvert \gg \frac{N^{1/2}}{g(N)}\]implies $\limsup 1_A\ast 1_A(n)=\infty$?"
41,open,56,0,open,yes,$500,"['number theory', 'sidon sets', 'additive combinatorics']",https://www.erdosproblems.com/41,"Let $A\subset\mathbb{N}$ be an infinite set such that the triple sums $a+b+c$ are all distinct for $a,b,c\in A$ (aside from the trivial coincidences). Is it true that\[\liminf \frac{\lvert A\cap \{1,\ldots,N\}\rvert}{N^{1/3}}=0?\]"
42,open,52,6,open,yes,no,"['number theory', 'sidon sets', 'additive combinatorics']",https://www.erdosproblems.com/42,"Let $M\geq 1$ and $N$ be sufficiently large in terms of $M$. Is it true that for every Sidon set $A\subset \{1,\ldots,N\}$ there is another Sidon set $B\subset \{1,\ldots,N\}$ of size $M$ such that $(A-A)\cap(B-B)=\{0\}$?"
43,open,34,9,open,no,$100,"['number theory', 'sidon sets', 'additive combinatorics']",https://www.erdosproblems.com/43,"If $A,B\subset \{1,\ldots,N\}$ are two Sidon sets such that $(A-A)\cap(B-B)=\{0\}$ then is it true that\[ \binom{\lvert A\rvert}{2}+\binom{\lvert B\rvert}{2}\leq\binom{f(N)}{2}+O(1),\]where $f(N)$ is the maximum possible size of a Sidon set in $\{1,\ldots,N\}$? If $\lvert A\rvert=\lvert B\rvert$ then can this bound be improved to\[\binom{\lvert A\rvert}{2}+\binom{\lvert B\rvert}{2}\leq (1-c+o(1))\binom{f(N)}{2}\]for some constant $c>0$?"
44,open,47,4,open,yes,no,"['number theory', 'sidon sets', 'additive combinatorics']",https://www.erdosproblems.com/44,"Let $N\geq 1$ and $A\subset \{1,\ldots,N\}$ be a Sidon set. Is it true that, for any $\epsilon>0$, there exist $M$ and $B\subset \{N+1,\ldots,M\}$ (which may depend on $N,A,\epsilon$) such that $A\cup B\subset \{1,\ldots,M\}$ is a Sidon set of size at least $(1-\epsilon)M^{1/2}$?"
45,proved,13,0,,no,no,"['number theory', 'unit fractions', 'ramsey theory']",https://www.erdosproblems.com/45,"Let $k\geq 2$. Is there an integer $n_k$ such that, if $D=\{ 1<d<n_k : d\mid n_k\}$, then for any $k$-colouring of $D$ there is a monochromatic subset $D'\subseteq D$ such that $\sum_{d\in D'}\frac{1}{d}=1$?"
46,proved (Lean),13,0,,no,no,"['number theory', 'unit fractions', 'ramsey theory']",https://www.erdosproblems.com/46,Does every finite colouring of the integers have a monochromatic solution to $1=\sum \frac{1}{n_i}$ with $2\leq n_1<\cdots <n_k$?
47,proved (Lean),14,0,,no,$100,"['number theory', 'unit fractions']",https://www.erdosproblems.com/47,"If $\delta>0$ and $N$ is sufficiently large in terms of $\delta$, and $A\subseteq\{1,\ldots,N\}$ is such that $\sum_{a\in A}\frac{1}{a}>\delta \log N$ then must there exist $S\subseteq A$ such that $\sum_{n\in S}\frac{1}{n}=1$?"
48,proved,23,0,,yes,no,['number theory'],https://www.erdosproblems.com/48,"Are there infinitely many integers $n,m$ such that $\phi(n)=\sigma(m)$?"
49,proved,13,0,,no,no,"['number theory', 'primes']",https://www.erdosproblems.com/49,"Let $A=\{a_1<\cdots<a_t\}\subseteq \{1,\ldots,N\}$ be such that $\phi(a_1)<\cdots<\phi(a_t)$. The primes are such an example. Are they the largest possible? Can one show that $\lvert A\rvert<(1+o(1))\pi(N)$ or even $\lvert A\rvert=o(N)$?"
50,open,60,0,open,yes,$250,['number theory'],https://www.erdosproblems.com/50,"Schoenberg proved that for every $c\in [0,1]$ the density of\[\{ n\in \mathbb{N} : \phi(n)<cn\}\]exists. Let this density be denoted by $f(c)$. Is it true that there are no $x$ such that $f'(x)$ exists and is positive?"
51,open,52,9,open,yes,no,['number theory'],https://www.erdosproblems.com/51,"Is there an infinite set $A\subset \mathbb{N}$ such that for every $a\in A$ there is an integer $n$ such that $\phi(n)=a$, and yet if $n_a$ is the smallest such integer then $n_a/a\to \infty$ as $a\to\infty$?"
52,open,53,1,open,yes,$250,"['number theory', 'additive combinatorics']",https://www.erdosproblems.com/52,"Let $A$ be a finite set of integers. Is it true that for every $\epsilon>0$\[\max( \lvert A+A\rvert,\lvert AA\rvert)\gg_\epsilon \lvert A\rvert^{2-\epsilon}?\]"
53,proved,13,0,,no,no,"['number theory', 'additive combinatorics']",https://www.erdosproblems.com/53,"Let $A$ be a finite set of integers. Is it true that, for every $k$, if $\lvert A\rvert$ is sufficiently large depending on $k$, then there are least $\lvert A\rvert^k$ many integers which are either the sum or product of distinct elements of $A$?"
54,solved,5,0,,no,$100,"['number theory', 'ramsey theory']",https://www.erdosproblems.com/54,"A set of integers $A$ is Ramsey $2$-complete if, whenever $A$ is $2$-coloured, all sufficiently large integers can be written as a monochromatic sum of elements of $A$. 
Burr and Erdős [BuEr85] showed that there exists a constant $c>0$ such that it cannot be true that\[\lvert A\cap \{1,\ldots,N\}\rvert \leq c(\log N)^2\]for all large $N$ and that there exists a Ramsey $2$-complete $A$ such that for all large $N$\[\lvert A\cap \{1,\ldots,N\}\rvert < (2\log_2N)^3.\]Improve either of these bounds."
55,solved,10,0,,no,$250,"['number theory', 'ramsey theory']",https://www.erdosproblems.com/55,"A set of integers $A$ is Ramsey $r$-complete if, whenever $A$ is $r$-coloured, all sufficiently large integers can be written as a monochromatic sum of elements of $A$. Prove any non-trivial bounds about the growth rate of such an $A$ for $r>2$."
56,disproved (Lean),8,6,,yes,$10,"['number theory', 'intersecting family']",https://www.erdosproblems.com/56,"Let $N\geq p_k$ where $p_k$ is the $k$th prime. Suppose $A\subseteq \{1,\ldots,N\}$ is such that there are no $k+1$ elements of $A$ which are relatively prime. An example is the set of all multiples of the first $k$ primes. Is this the largest such set?"
57,proved,21,0,,no,no,"['graph theory', 'chromatic number', 'cycles']",https://www.erdosproblems.com/57,If $G$ is a graph with infinite chromatic number and $a_1<a_2<\cdots $ are lengths of the odd cycles of $G$ then $\sum \frac{1}{a_i}=\infty$.
58,proved,21,0,,no,no,"['graph theory', 'chromatic number', 'cycles']",https://www.erdosproblems.com/58,"If $G$ is a graph which contains odd cycles of $\leq k$ different lengths then $\chi(G)\leq 2k+2$, with equality if and only if $G$ contains $K_{2k+2}$."
59,disproved,21,0,,no,no,"['graph theory', 'turan number']",https://www.erdosproblems.com/59,Is it true that the number of graphs on $n$ vertices which do not contain $G$ is\[\leq 2^{(1+o(1))\mathrm{ex}(n;G)}?\]
60,open,61,0,open,no,no,"['graph theory', 'cycles']",https://www.erdosproblems.com/60,Does every graph on $n$ vertices with $>\mathrm{ex}(n;C_4)$ edges contain $\gg n^{1/2}$ many copies of $C_4$?
61,open,60,6,open,yes,no,['graph theory'],https://www.erdosproblems.com/61,For any graph $H$ is there some $c=c(H)>0$ such that every graph $G$ on $n$ vertices that does not contain $H$ as an induced subgraph contains either a complete graph or independent set on $\geq n^c$ vertices?
62,open,61,0,open,no,no,['graph theory'],https://www.erdosproblems.com/62,"If $G_1,G_2$ are two graphs with chromatic number $\aleph_1$ then must there exist a graph $G$ whose chromatic number is $4$ (or even $\aleph_0$) which is a subgraph of both $G_1$ and $G_2$?"
63,proved,18,1,,no,no,"['graph theory', 'chromatic number', 'cycles']",https://www.erdosproblems.com/63,Does every graph with infinite chromatic number contain a cycle of length $2^n$ for infinitely many $n$?
64,falsifiable,82,1,open,yes,$1000,"['graph theory', 'cycles']",https://www.erdosproblems.com/64,Does every finite graph with minimum degree at least 3 contain a cycle of length $2^k$ for some $k\geq 2$?
65,open,54,3,open,no,no,"['graph theory', 'cycles']",https://www.erdosproblems.com/65,"Let $G$ be a graph with $n$ vertices and $kn$ edges, and $a_1<a_2<\cdots $ be the lengths of cycles in $G$. Is it true that\[\sum\frac{1}{a_i}\gg \log k?\]Is the sum $\sum\frac{1}{a_i}$ minimised when $G$ is a complete bipartite graph?"
66,open,57,1,open,yes,$500,"['number theory', 'additive basis']",https://www.erdosproblems.com/66,Is there $A\subseteq \mathbb{N}$ such that\[\lim_{n\to \infty}\frac{1_A\ast 1_A(n)}{\log n}\]exists and is $\neq 0$?
67,proved,17,1,,yes,$500,['discrepancy'],https://www.erdosproblems.com/67,"If $f:\mathbb{N}\to \{-1,+1\}$ then is it true that for every $C>0$ there exist $d,m\geq 1$ such that\[\left\lvert \sum_{1\leq k\leq m}f(kd)\right\rvert > C?\]"
68,open,63,0,open,yes,no,"['number theory', 'irrationality']",https://www.erdosproblems.com/68,Is\[\sum_{n\geq 2}\frac{1}{n!-1}\]irrational?
69,proved,23,0,,yes,no,"['number theory', 'irrationality']",https://www.erdosproblems.com/69,Is\[\sum_{n\geq 2}\frac{\omega(n)}{2^n}\]irrational? (Here $\omega(n)$ counts the number of distinct prime divisors of $n$.)
70,open,57,0,open,no,no,"['graph theory', 'ramsey theory', 'set theory']",https://www.erdosproblems.com/70,"Let $\mathfrak{c}$ be the ordinal of the real numbers, $\beta$ be any countable ordinal, and $2\leq n<\omega$. Is it true that $\mathfrak{c}\to (\beta, n)_2^3$?"
71,proved,14,3,,no,no,"['graph theory', 'cycles']",https://www.erdosproblems.com/71,Is it true that for every infinite arithmetic progression $P$ which contains even numbers there is some constant $c=c(P)$ such that every graph with average degree at least $c$ contains a cycle whose length is in $P$?
72,proved,18,0,,no,$100,"['graph theory', 'cycles']",https://www.erdosproblems.com/72,Is there a set $A\subset \mathbb{N}$ of density $0$ and a constant $c>0$ such that every graph on sufficiently many vertices with average degree $\geq c$ contains a cycle whose length is in $A$?
73,proved,21,0,,no,no,['graph theory'],https://www.erdosproblems.com/73,"Let $k\geq 0$. Let $G$ be a graph such that every subgraph $H$ contains an independent set of size $\geq (n-k)/2$, where $n$ is the number of vertices of $H$. Must $G$ be the union of a bipartite graph and $O_k(1)$ many vertices?"
74,open,64,0,open,yes,$500,"['graph theory', 'chromatic number', 'cycles']",https://www.erdosproblems.com/74,Let $f(n)\to \infty$ (possibly very slowly). Is there a graph of infinite chromatic number such that every finite subgraph on $n$ vertices can be made bipartite by deleting at most $f(n)$ edges?
75,open,55,3,open,yes,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/75,"Is there a graph of chromatic number $\aleph_1$ with $\aleph_1$ vertices such that for all $\epsilon>0$ if $n$ is sufficiently large and $H$ is a subgraph on $n$ vertices then $H$ contains an independent set of size $>n^{1-\epsilon}$? 
What about an independent set of size $\gg n$?"
76,proved,17,0,,no,no,"['graph theory', 'ramsey theory']",https://www.erdosproblems.com/76,Is it true that in any $2$-colouring of the edges of $K_n$ there must exist at least\[(1+o(1))\frac{n^2}{12}\]many edge-disjoint monochromatic triangles?
77,open,51,2,open,no,$250,"['graph theory', 'ramsey theory']",https://www.erdosproblems.com/77,"If $R(k)$ is the Ramsey number for $K_k$, the minimal $n$ such that every $2$-colouring of the edges of $K_n$ contains a monochromatic copy of $K_k$, then find the value of\[\lim_{k\to \infty}R(k)^{1/k}.\]"
78,open,47,3,open,no,$100,"['graph theory', 'ramsey theory']",https://www.erdosproblems.com/78,"Let $R(k)$ be the Ramsey number for $K_k$, the minimal $n$ such that every $2$-colouring of the edges of $K_n$ contains a monochromatic copy of $K_k$.
Give a constructive proof that $R(k)>C^k$ for some constant $C>1$."
79,proved,17,0,,no,no,"['graph theory', 'ramsey theory']",https://www.erdosproblems.com/79,"We say $G$ is Ramsey size linear if $R(G,H)\ll m$ for all graphs $H$ with $m$ edges and no isolated vertices.
Are there infinitely many graphs $G$ which are not Ramsey size linear but such that all of its subgraphs are?"
80,open,52,0,open,no,no,"['graph theory', 'ramsey theory']",https://www.erdosproblems.com/80,"Let $c>0$ and let $f_c(n)$ be the maximal $m$ such that every graph $G$ with $n$ vertices and at least $cn^2$ edges, where each edge is contained in at least one triangle, must contain a book of size $m$, that is, an edge shared by at least $m$ different triangles. 
Estimate $f_c(n)$. In particular, is it true that $f_c(n)>n^{\epsilon}$ for some $\epsilon>0$? Or $f_c(n)\gg \log n$?"
81,open,61,0,open,no,no,['graph theory'],https://www.erdosproblems.com/81,"Let $G$ be a chordal graph on $n$ vertices - that is, $G$ has no induced cycles of length greater than $3$. Can the edges of $G$ be partitioned into $n^2/6+O(n)$ many cliques?"
82,open,56,18,open,yes,no,['graph theory'],https://www.erdosproblems.com/82,Let $F(n)$ be maximal such that every graph on $n$ vertices contains a regular induced subgraph on at least $F(n)$ vertices. Prove that $F(n)/\log n\to \infty$.
83,proved,2,3,,no,$500,['combinatorics'],https://www.erdosproblems.com/83,"Suppose that we have a family $\mathcal{F}$ of subsets of $[4n]$ such that $\lvert A\rvert=2n$ for all $A\in\mathcal{F}$ and for every $A,B\in \mathcal{F}$ we have $\lvert A\cap B\rvert \geq 2$. Then\[\lvert \mathcal{F}\rvert \leq \frac{1}{2}\left(\binom{4n}{2n}-\binom{2n}{n}^2\right).\]"
84,open,56,0,open,no,no,"['graph theory', 'cycles']",https://www.erdosproblems.com/84,"The cycle set of a graph $G$ on $n$ vertices is a set $A\subseteq \{3,\ldots,n\}$ such that there is a cycle in $G$ of length $\ell$ if and only if $\ell \in A$. Let $f(n)$ count the number of possible such $A$. 
Prove that $f(n)=o(2^n)$.
Prove that $f(n)/2^{n/2}\to \infty$."
85,open,64,1,open,yes,no,['graph theory'],https://www.erdosproblems.com/85,"Let $n\geq 4$ and $f(n)$ be minimal such that every graph on $n$ vertices with minimal degree $\geq f(n)$ contains a $C_4$. Is it true that, for all large $n$, $f(n+1)\geq f(n)$?"
86,open,55,1,open,no,$100,['graph theory'],https://www.erdosproblems.com/86,Let $Q_n$ be the $n$-dimensional hypercube graph (so that $Q_n$ has $2^n$ vertices and $n2^{n-1}$ edges). Is it true that every subgraph of $Q_n$ with\[\geq \left(\frac{1}{2}+o(1)\right)n2^{n-1}\]many edges contains a $C_4$?
87,open,52,0,open,no,no,"['graph theory', 'ramsey theory']",https://www.erdosproblems.com/87,"Let $\epsilon >0$. Is it true that, if $k$ is sufficiently large, then\[R(G)>(1-\epsilon)^kR(k)\]for every graph $G$ with chromatic number $\chi(G)=k$? 
Even stronger, is there some $c>0$ such that, for all large $k$, $R(G)>cR(k)$ for every graph $G$ with chromatic number $\chi(G)=k$?"
88,proved,9,0,,no,$100,"['graph theory', 'ramsey theory']",https://www.erdosproblems.com/88,For any $\epsilon>0$ there exists $\delta=\delta(\epsilon)>0$ such that if $G$ is a graph on $n$ vertices with no independent set or clique of size $\geq \epsilon\log n$ then $G$ contains an induced subgraph with $m$ edges for all $m\leq \delta n^2$.
89,open,60,0,open,yes,$500,"['geometry', 'distances']",https://www.erdosproblems.com/89,Does every set of $n$ distinct points in $\mathbb{R}^2$ determine $\gg n/\sqrt{\log n}$ many distinct distances?
90,open,60,0,open,yes,$500,"['geometry', 'distances']",https://www.erdosproblems.com/90,Does every set of $n$ distinct points in $\mathbb{R}^2$ contain at most $n^{1+O(1/\log\log n)}$ many pairs which are distance 1 apart?
91,open,51,6,open,yes,no,"['geometry', 'distances']",https://www.erdosproblems.com/91,Let $n$ be a sufficiently large integer. Suppose $A\subset \mathbb{R}^2$ has $\lvert A\rvert=n$ and minimises the number of distinct distances between points in $A$. Prove that there are at least two (and probably many) such $A$ which are non-similar.
92,open,57,1,open,yes,$500,"['geometry', 'distances']",https://www.erdosproblems.com/92,"Let $f(n)$ be maximal such that there exists a set $A$ of $n$ points in $\mathbb{R}^2$ in which every $x\in A$ has at least $f(n)$ points in $A$ equidistant from $x$.
Is it true that $f(n)\leq n^{o(1)}$? Or even $f(n) < n^{O(1/\log\log n)}$?"
93,proved (Lean),10,3,,no,no,"['geometry', 'convex', 'distances']",https://www.erdosproblems.com/93,If $n$ distinct points in $\mathbb{R}^2$ form a convex polygon then they determine at least $\lfloor \frac{n}{2}\rfloor$ distinct distances.
94,proved (Lean),10,6,,no,£25,"['geometry', 'convex', 'distances']",https://www.erdosproblems.com/94,"Suppose $n$ points in $\mathbb{R}^2$ determine a convex polygon and the set of distances between them is $\{u_1,\ldots,u_t\}$. Suppose $u_i$ appears as the distance between $f(u_i)$ many pairs of points. Then\[\sum_i f(u_i)^2 \ll n^3.\]"
95,proved,11,1,,no,$500,"['geometry', 'convex', 'distances']",https://www.erdosproblems.com/95,"Let $x_1,\ldots,x_n\in\mathbb{R}^2$ determine the set of distances $\{u_1,\ldots,u_t\}$. Suppose $u_i$ appears as the distance between $f(u_i)$ many pairs of points. Then for all $\epsilon>0$\[\sum_i f(u_i)^2 \ll_\epsilon n^{3+\epsilon}.\]"
