id	n	tau	factorization
3317	8704143616	189	2^8*7^6*17^2
3318	8707129344	195	2^14*3^12
3319	8713662409	21	17^6*19^2
3320	8717209956	567	2^2*3^6*7^2*13^2*19^2
3321	8742250000	315	2^4*5^6*11^2*17^2
3322	8752538025	297	3^10*5^2*7^2*11^2
3323	8760960000	825	2^10*3^4*5^4*13^2
3324	8766951424	351	2^12*7^2*11^2*19^2
3325	8767700496	225	2^4*3^8*17^4
3326	8768262321	81	3^2*7^8*13^2
3327	8789062500	117	2^2*3^2*5^12
3328	8809699600	225	2^4*5^2*13^2*19^4
3329	8821905625	75	5^4*13^2*17^4
3330	8845402500	675	2^2*3^4*5^4*11^2*19^2
3331	8851046400	675	2^14*3^2*5^2*7^4
3332	8882685504	945	2^6*3^4*7^2*11^2*17^2
3333	8897205625	105	5^4*7^6*11^2
3334	8907584400	675	2^4*3^2*5^2*11^4*13^2
3335	8930250000	735	2^4*3^6*5^6*7^2
3336	8956729600	405	2^8*5^2*7^2*13^4
3337	8981352900	351	2^2*3^12*5^2*13^2
3338	8988746481	135	3^2*11^2*13^4*17^2
3339	8996143104	405	2^14*3^2*13^2*19^2
3340	8999178496	225	2^8*7^4*11^4
3341	9017781444	405	2^2*3^2*7^4*17^2*19^2
3342	9025000000	189	2^6*5^8*19^2
3343	9032601600	819	2^12*3^6*5^2*11^2
3344	9043059025	243	5^2*7^2*11^2*13^2*19^2
3345	9063040000	495	2^10*5^4*7^2*17^2
3346	9073705536	385	2^6*3^10*7^4
3347	9082852416	315	2^6*3^2*11^2*19^4
3348	9095436900	405	2^2*3^2*5^2*11^2*17^4
3349	9114902784	567	2^8*3^6*13^2*17^2
3350	9129802500	675	2^2*3^2*5^4*7^4*13^2
3351	9144140625	135	3^4*5^8*17^2
3352	9166913536	171	2^18*11^2*17^2
3353	9169977600	1215	2^8*3^4*5^2*7^2*19^2
3354	9182047329	135	3^8*7^2*13^4
3355	9183772224	245	2^6*3^4*11^6
3356	9202756761	189	3^6*11^2*17^2*19^2
3357	9216000000	357	2^16*3^2*5^6
3358	9220992676	63	2^2*7^2*19^6
3359	9223681600	189	2^6*5^2*7^8
3360	9234441216	891	2^10*3^2*7^2*11^2*13^2
3361	9259827984	225	2^4*3^14*11^2
3362	9264062500	243	2^2*5^8*7^2*11^2
3363	9279468900	405	2^2*3^2*5^2*13^4*19^2
3364	9291032100	729	2^2*3^8*5^2*7^2*17^2
3365	9317075625	315	3^6*5^4*11^2*13^2
3366	9323447364	405	2^2*3^2*7^2*11^4*19^2
3367	9344702224	105	2^4*11^2*13^6
3368	9364045824	399	2^18*3^6*7^2
3369	9370240000	275	2^10*5^4*11^4
3370	9374886976	315	2^6*7^4*13^2*19^2
3371	9389610000	675	2^4*3^2*5^4*17^2*19^2
3372	9400659849	117	3^12*7^2*19^2
3373	9412880400	1125	2^4*3^4*5^2*7^4*11^2
3374	9429186816	405	2^8*3^2*7^2*17^4
3375	9447840000	495	2^8*3^10*5^4
3376	9455617600	567	2^6*5^2*11^2*13^2*17^2
3377	9463398400	189	2^20*5^2*19^2
3378	9475854336	325	2^12*3^4*13^4
3379	9498646521	225	3^4*7^4*13^2*17^2
3380	9500400900	315	2^2*3^6*5^2*19^4
3381	9506250000	405	2^4*3^2*5^8*13^2
3382	9541773124	75	2^2*13^4*17^4
3383	9556040025	189	3^2*5^2*7^6*19^2
3384	9567187344	675	2^4*3^4*11^2*13^2*19^2
3385	9588326400	675	2^14*3^4*5^2*17^2
3386	9604000000	315	2^8*5^6*7^4
3387	9605960100	405	2^2*3^8*5^2*11^4
3388	9623217604	189	2^2*7^6*11^2*13^2
3389	9638330625	405	3^2*5^4*7^2*11^2*17^2
3390	9641668864	135	2^8*17^2*19^4
3391	9655027600	105	2^4*5^2*17^6
3392	9658958400	1323	2^6*3^6*5^2*7^2*13^2
3393	9663676416	93	2^30*3^2
3394	9685512225	57	3^18*5^2
3395	9701462016	351	2^12*3^8*19^2
3396	9712693809	135	3^2*7^2*13^2*19^4
3397	9714073600	459	2^16*5^2*7^2*11^2
3398	9748797696	405	2^8*3^2*11^4*17^2
3399	9758278656	385	2^10*3^4*7^6
3400	9761440000	405	2^8*5^4*13^2*19^2
3401	9768950244	225	2^2*3^4*17^4*19^2
3402	9774288225	105	3^4*5^2*13^6
3403	9801000000	735	2^6*3^4*5^6*11^2
3404	9802584064	351	2^12*7^2*13^2*17^2
3405	9820611801	225	3^4*7^2*11^4*13^2
3406	9826162129	35	7^6*17^4
3407	9829532736	273	2^6*3^12*17^2
3408	9845600625	225	3^8*5^4*7^4
3409	9855525625	75	5^4*11^2*19^4
3410	9874794384	375	2^4*3^2*7^4*13^4
3411	9890302500	675	2^2*3^4*5^4*13^2*17^2
3412	9897066256	405	2^4*7^2*11^2*17^2*19^2
3413	9950062500	567	2^2*3^2*5^6*7^2*19^2
3414	9958443264	729	2^8*3^8*7^2*11^2
3415	9965030625	105	3^2*5^4*11^6
3416	9968025600	513	2^18*3^2*5^2*13^2
3417	9992001600	945	2^6*3^2*5^2*7^4*17^2
3418	10000000000	121	2^10*5^10
